frame	page	note
frame_0231.jpg	65	
frame_0232.jpg	65	
frame_0233.jpg	66	
frame_0234.jpg	66	
frame_0235.jpg	66	
frame_0236.jpg	66	
frame_0237.jpg	67	
frame_0238.jpg	67	
frame_0239.jpg	67	
frame_0240.jpg	68	
frame_0241.jpg	68	
frame_0242.jpg	68	
frame_0243.jpg	68	
frame_0244.jpg	68	
frame_0245.jpg	69	
frame_0246.jpg	69	
frame_0247.jpg	69	
frame_0248.jpg	69	
frame_0249.jpg	70	
frame_0250.jpg	70	
frame_0251.jpg	70	
frame_0252.jpg	70	
frame_0253.jpg	70	推定(前70,後71)
frame_0254.jpg	71	
frame_0255.jpg	71	
frame_0256.jpg	71	
frame_0257.jpg	71	推定(前71,後72)
frame_0258.jpg	72	
frame_0259.jpg	72	
frame_0260.jpg	72	
frame_0261.jpg	73	
frame_0262.jpg	73	
frame_0263.jpg	73	
frame_0264.jpg	73	
frame_0265.jpg	73	
frame_0266.jpg	74	
frame_0267.jpg	74	
frame_0268.jpg	74	
frame_0269.jpg	75	
frame_0270.jpg	75	
frame_0271.jpg	75	
frame_0272.jpg	75	
frame_0273.jpg	76	
frame_0274.jpg	76	
frame_0275.jpg	76	
frame_0276.jpg	76	
frame_0277.jpg	77	
frame_0278.jpg	77	
frame_0279.jpg	77	
frame_0280.jpg	77	
frame_0281.jpg	78	
frame_0282.jpg	78	
frame_0283.jpg	78	
frame_0284.jpg	78	
frame_0285.jpg	79	
frame_0286.jpg	79	
frame_0287.jpg	79	
frame_0288.jpg	79	
frame_0289.jpg	80	
frame_0290.jpg	80	
frame_0291.jpg	80	
frame_0292.jpg	80	
frame_0293.jpg	80	
frame_0294.jpg	81	 補正(31→81)
frame_0295.jpg	81	 補正(31→81)
frame_0296.jpg	81	 補正(31→81)
frame_0297.jpg	81	 補正(31→81)
frame_0298.jpg	81	 補正(31→81)
frame_0299.jpg	82	
frame_0300.jpg	82	
frame_0301.jpg	82	
frame_0302.jpg	82	
frame_0303.jpg	82	
frame_0304.jpg	83	
frame_0305.jpg	83	
frame_0306.jpg	83	
frame_0307.jpg	83	
frame_0308.jpg	83	推定(前83)
frame_0309.jpg	83	推定(前83)
frame_0310.jpg	83	推定(前83)
